V_segment	demo1_IG	demo2_IG	demo3_IG
IGHV1-1	0	0.0091324200913242	0.0100671140939597
IGHV1-2	0.0227272727272727	0.0319634703196347	0.00335570469798658
IGHV10-1	0.00413223140495868	0.0045662100456621	0
IGHV11-1	0.00413223140495868	0.0091324200913242	0.0201342281879195
IGHV13S2	0.0165289256198347	0.0136986301369863	0.379194630872483
IGHV14S1	0.00826446280991736	0.0228310502283105	0.10738255033557
IGHV1S3	0.00413223140495868	0	0
IGHV1S4	0.00413223140495868	0.0136986301369863	0
IGHV2-1	0.0144628099173554	0.0045662100456621	0
IGHV2-2	0.00826446280991736	0.0136986301369863	0
IGHV3-2	0.00413223140495868	0.0502283105022831	0
IGHV4-1	0.00413223140495868	0.0228310502283105	0
IGHV4-2	0.239669421487603	0.0136986301369863	0.281879194630872
IGHV4-5	0.00413223140495868	0	0.0100671140939597
IGHV4-6-1	0.0103305785123967	0.251141552511416	0.00671140939597315
IGHV4-6-2	0.00413223140495868	0.0045662100456621	0
IGHV4-6-3	0.00413223140495868	0.0228310502283105	0.0167785234899329
IGHV4-7	0.0103305785123967	0.0091324200913242	0
IGHV4-8	0.00619834710743802	0.0136986301369863	0
IGHV4-9	0.00413223140495868	0.0182648401826484	0.00335570469798658
IGHV5-1-1	0.0206611570247934	0.0365296803652968	0.0503355704697987
IGHV5-1-2	0.00619834710743802	0.0228310502283105	0.0335570469798658
IGHV5-1-3	0.0309917355371901	0.0410958904109589	0.0134228187919463
IGHV5-3	0.00206611570247934	0.0045662100456621	0.00335570469798658
IGHV5-4	0	0	0
IGHV5-5-1	0.0764462809917355	0.0958904109589041	0.0134228187919463
IGHV5-5-2	0.0247933884297521	0.0182648401826484	0.00335570469798658
IGHV5-5-3	0.00206611570247934	0.0045662100456621	0
IGHV6-1	0.00826446280991736	0.0273972602739726	0.023489932885906
IGHV6-2	0.00413223140495868	0	0
IGHV7-1	0.00206611570247934	0.0045662100456621	0.00335570469798658
IGHV8-2	0.0103305785123967	0.0045662100456621	0
IGHV8-3	0.00619834710743802	0	0
IGHV8-4	0.00826446280991736	0.0136986301369863	0
IGHV9-1	0.392561983471074	0.150684931506849	0.0134228187919463
IGHV9-2	0	0	0
IGHV9-3	0.0268595041322314	0.045662100456621	0.00335570469798658
