VJ_combination	demo1_IG	demo2_IG	demo3_IG
IGHV1-1_IGHJ1-M	0	0.00793650793650794	0
IGHV1-1_IGHJ1-Z1	0	0	0
IGHV1-1_IGHJ2-M	0	0.00793650793650794	0.0204081632653061
IGHV1-1_IGHJ2-Z1	0	0	0
IGHV1-1_IGHJ3-M	0	0	0.0204081632653061
IGHV1-1_IGHJ4-M	0	0	0.0204081632653061
IGHV1-1_IGHJ5-M	0	0	0
IGHV1-2_IGHJ1-M	0.00518134715025907	0	0
IGHV1-2_IGHJ1-Z1	0	0	0
IGHV1-2_IGHJ2-M	0.0259067357512953	0.0238095238095238	0
IGHV1-2_IGHJ2-Z1	0	0	0
IGHV1-2_IGHJ3-M	0.00518134715025907	0	0
IGHV1-2_IGHJ4-M	0.0103626943005181	0.0158730158730159	0
IGHV1-2_IGHJ5-M	0.0103626943005181	0.00793650793650794	0.0204081632653061
IGHV10-1_IGHJ1-M	0	0	0
IGHV10-1_IGHJ1-Z1	0	0	0
IGHV10-1_IGHJ2-M	0.0103626943005181	0	0
IGHV10-1_IGHJ2-Z1	0	0	0
IGHV10-1_IGHJ3-M	0	0	0
IGHV10-1_IGHJ4-M	0	0	0
IGHV10-1_IGHJ5-M	0	0.00793650793650794	0
IGHV11-1_IGHJ1-M	0	0	0
IGHV11-1_IGHJ1-Z1	0	0	0
IGHV11-1_IGHJ2-M	0.0103626943005181	0	0.0204081632653061
IGHV11-1_IGHJ2-Z1	0	0	0
IGHV11-1_IGHJ3-M	0	0.0158730158730159	0
IGHV11-1_IGHJ4-M	0	0	0.0408163265306122
IGHV11-1_IGHJ5-M	0	0	0
IGHV13S2_IGHJ1-M	0.0155440414507772	0.00793650793650794	0
IGHV13S2_IGHJ1-Z1	0	0	0
IGHV13S2_IGHJ2-M	0.0155440414507772	0	0.0204081632653061
IGHV13S2_IGHJ2-Z1	0	0	0
IGHV13S2_IGHJ3-M	0	0	0.122448979591837
IGHV13S2_IGHJ4-M	0.0103626943005181	0.0158730158730159	0
IGHV13S2_IGHJ5-M	0	0	0
IGHV14S1_IGHJ1-M	0.00518134715025907	0.00793650793650794	0
IGHV14S1_IGHJ1-Z1	0	0	0
IGHV14S1_IGHJ2-M	0.0103626943005181	0.00793650793650794	0
IGHV14S1_IGHJ2-Z1	0	0	0
IGHV14S1_IGHJ3-M	0.00518134715025907	0	0.0204081632653061
IGHV14S1_IGHJ4-M	0	0	0.102040816326531
IGHV14S1_IGHJ5-M	0	0.0158730158730159	0
IGHV1S3_IGHJ1-M	0.0103626943005181	0	0
IGHV1S3_IGHJ1-Z1	0	0	0
IGHV1S3_IGHJ2-M	0	0	0
IGHV1S3_IGHJ2-Z1	0	0	0
IGHV1S3_IGHJ3-M	0	0	0
IGHV1S3_IGHJ4-M	0	0	0
IGHV1S3_IGHJ5-M	0	0	0
IGHV1S4_IGHJ1-M	0	0.00793650793650794	0
IGHV1S4_IGHJ1-Z1	0	0	0
IGHV1S4_IGHJ2-M	0.0103626943005181	0	0
IGHV1S4_IGHJ2-Z1	0	0	0
IGHV1S4_IGHJ3-M	0	0	0
IGHV1S4_IGHJ4-M	0	0.00793650793650794	0
IGHV1S4_IGHJ5-M	0	0.00793650793650794	0
IGHV2-1_IGHJ1-M	0	0	0
IGHV2-1_IGHJ1-Z1	0	0	0
IGHV2-1_IGHJ2-M	0.0103626943005181	0	0
IGHV2-1_IGHJ2-Z1	0	0	0
IGHV2-1_IGHJ3-M	0	0	0
IGHV2-1_IGHJ4-M	0.0155440414507772	0	0
IGHV2-1_IGHJ5-M	0	0.00793650793650794	0
IGHV2-2_IGHJ1-M	0.00518134715025907	0	0
IGHV2-2_IGHJ1-Z1	0	0	0
IGHV2-2_IGHJ2-M	0.0103626943005181	0	0
IGHV2-2_IGHJ2-Z1	0	0	0
IGHV2-2_IGHJ3-M	0	0.00793650793650794	0
IGHV2-2_IGHJ4-M	0.00518134715025907	0.00793650793650794	0
IGHV2-2_IGHJ5-M	0	0.00793650793650794	0
IGHV3-2_IGHJ1-M	0.00518134715025907	0	0
IGHV3-2_IGHJ1-Z1	0	0	0
IGHV3-2_IGHJ2-M	0	0.0158730158730159	0
IGHV3-2_IGHJ2-Z1	0	0	0
IGHV3-2_IGHJ3-M	0	0	0
IGHV3-2_IGHJ4-M	0	0.00793650793650794	0
IGHV3-2_IGHJ5-M	0.00518134715025907	0	0
IGHV4-1_IGHJ1-M	0	0	0
IGHV4-1_IGHJ1-Z1	0	0	0
IGHV4-1_IGHJ2-M	0	0.00793650793650794	0
IGHV4-1_IGHJ2-Z1	0	0	0
IGHV4-1_IGHJ3-M	0	0	0
IGHV4-1_IGHJ4-M	0.00518134715025907	0.00793650793650794	0
IGHV4-1_IGHJ5-M	0.00518134715025907	0	0
IGHV4-2_IGHJ1-M	0.0207253886010363	0.00793650793650794	0
IGHV4-2_IGHJ1-Z1	0	0	0
IGHV4-2_IGHJ2-M	0.0310880829015544	0	0.0204081632653061
IGHV4-2_IGHJ2-Z1	0	0	0
IGHV4-2_IGHJ3-M	0.0103626943005181	0	0
IGHV4-2_IGHJ4-M	0.0466321243523316	0.0158730158730159	0.0816326530612245
IGHV4-2_IGHJ5-M	0.00518134715025907	0	0
IGHV4-5_IGHJ1-M	0	0	0
IGHV4-5_IGHJ1-Z1	0	0	0
IGHV4-5_IGHJ2-M	0	0	0.0204081632653061
IGHV4-5_IGHJ2-Z1	0	0	0
IGHV4-5_IGHJ3-M	0.00518134715025907	0	0
IGHV4-5_IGHJ4-M	0.00518134715025907	0	0
IGHV4-5_IGHJ5-M	0	0	0
IGHV4-6-1_IGHJ1-M	0.00518134715025907	0	0
IGHV4-6-1_IGHJ1-Z1	0	0	0
IGHV4-6-1_IGHJ2-M	0.0103626943005181	0.0555555555555556	0
IGHV4-6-1_IGHJ2-Z1	0	0	0
IGHV4-6-1_IGHJ3-M	0	0	0.0204081632653061
IGHV4-6-1_IGHJ4-M	0.0103626943005181	0.00793650793650794	0
IGHV4-6-1_IGHJ5-M	0	0	0
IGHV4-6-2_IGHJ1-M	0.00518134715025907	0	0
IGHV4-6-2_IGHJ1-Z1	0	0	0
IGHV4-6-2_IGHJ2-M	0	0	0
IGHV4-6-2_IGHJ2-Z1	0	0	0
IGHV4-6-2_IGHJ3-M	0	0	0
IGHV4-6-2_IGHJ4-M	0	0	0
IGHV4-6-2_IGHJ5-M	0.00518134715025907	0.00793650793650794	0
IGHV4-6-3_IGHJ1-M	0	0.00793650793650794	0.0204081632653061
IGHV4-6-3_IGHJ1-Z1	0	0	0
IGHV4-6-3_IGHJ2-M	0	0.00793650793650794	0.0204081632653061
IGHV4-6-3_IGHJ2-Z1	0	0	0
IGHV4-6-3_IGHJ3-M	0	0.0158730158730159	0
IGHV4-6-3_IGHJ4-M	0.0103626943005181	0	0.0204081632653061
IGHV4-6-3_IGHJ5-M	0	0	0
IGHV4-7_IGHJ1-M	0	0	0
IGHV4-7_IGHJ1-Z1	0	0	0
IGHV4-7_IGHJ2-M	0	0.00793650793650794	0
IGHV4-7_IGHJ2-Z1	0	0	0
IGHV4-7_IGHJ3-M	0	0	0
IGHV4-7_IGHJ4-M	0.00518134715025907	0	0
IGHV4-7_IGHJ5-M	0.00518134715025907	0.00793650793650794	0
IGHV4-8_IGHJ1-M	0.0103626943005181	0	0
IGHV4-8_IGHJ1-Z1	0	0	0
IGHV4-8_IGHJ2-M	0	0.0238095238095238	0
IGHV4-8_IGHJ2-Z1	0	0	0
IGHV4-8_IGHJ3-M	0.00518134715025907	0	0
IGHV4-8_IGHJ4-M	0	0	0
IGHV4-8_IGHJ5-M	0	0	0
IGHV4-9_IGHJ1-M	0	0.00793650793650794	0
IGHV4-9_IGHJ1-Z1	0	0	0
IGHV4-9_IGHJ2-M	0	0.0158730158730159	0
IGHV4-9_IGHJ2-Z1	0	0	0
IGHV4-9_IGHJ3-M	0	0	0
IGHV4-9_IGHJ4-M	0	0	0.0204081632653061
IGHV4-9_IGHJ5-M	0.0103626943005181	0	0
IGHV5-1-1_IGHJ1-M	0.0103626943005181	0	0.0612244897959184
IGHV5-1-1_IGHJ1-Z1	0	0	0
IGHV5-1-1_IGHJ2-M	0.0155440414507772	0.0317460317460317	0
IGHV5-1-1_IGHJ2-Z1	0	0	0
IGHV5-1-1_IGHJ3-M	0.00518134715025907	0	0
IGHV5-1-1_IGHJ4-M	0.0103626943005181	0.0317460317460317	0
IGHV5-1-1_IGHJ5-M	0	0	0
IGHV5-1-2_IGHJ1-M	0	0.00793650793650794	0.0204081632653061
IGHV5-1-2_IGHJ1-Z1	0	0	0
IGHV5-1-2_IGHJ2-M	0.0103626943005181	0	0
IGHV5-1-2_IGHJ2-Z1	0	0	0
IGHV5-1-2_IGHJ3-M	0	0.00793650793650794	0
IGHV5-1-2_IGHJ4-M	0.00518134715025907	0.0158730158730159	0
IGHV5-1-2_IGHJ5-M	0	0.00793650793650794	0
IGHV5-1-3_IGHJ1-M	0	0.00793650793650794	0.0204081632653061
IGHV5-1-3_IGHJ1-Z1	0	0	0
IGHV5-1-3_IGHJ2-M	0.0310880829015544	0.0158730158730159	0.0204081632653061
IGHV5-1-3_IGHJ2-Z1	0	0	0
IGHV5-1-3_IGHJ3-M	0.00518134715025907	0.00793650793650794	0.0204081632653061
IGHV5-1-3_IGHJ4-M	0.0103626943005181	0.0158730158730159	0.0204081632653061
IGHV5-1-3_IGHJ5-M	0.0207253886010363	0.00793650793650794	0
IGHV5-3_IGHJ1-M	0	0	0
IGHV5-3_IGHJ1-Z1	0	0	0
IGHV5-3_IGHJ2-M	0	0.00793650793650794	0
IGHV5-3_IGHJ2-Z1	0	0	0
IGHV5-3_IGHJ3-M	0	0	0.0204081632653061
IGHV5-3_IGHJ4-M	0.00518134715025907	0	0
IGHV5-3_IGHJ5-M	0	0	0
IGHV5-4_IGHJ1-M	0	0	0
IGHV5-4_IGHJ1-Z1	0	0	0
IGHV5-4_IGHJ2-M	0	0	0
IGHV5-4_IGHJ2-Z1	0	0	0
IGHV5-4_IGHJ3-M	0	0	0
IGHV5-4_IGHJ4-M	0	0	0
IGHV5-4_IGHJ5-M	0	0	0
IGHV5-5-1_IGHJ1-M	0.0259067357512953	0.0396825396825397	0
IGHV5-5-1_IGHJ1-Z1	0	0	0
IGHV5-5-1_IGHJ2-M	0.0673575129533679	0.0317460317460317	0.0408163265306122
IGHV5-5-1_IGHJ2-Z1	0	0	0
IGHV5-5-1_IGHJ3-M	0.0155440414507772	0	0
IGHV5-5-1_IGHJ4-M	0	0.0396825396825397	0
IGHV5-5-1_IGHJ5-M	0.00518134715025907	0.0238095238095238	0
IGHV5-5-2_IGHJ1-M	0.00518134715025907	0.0158730158730159	0
IGHV5-5-2_IGHJ1-Z1	0	0	0
IGHV5-5-2_IGHJ2-M	0.0155440414507772	0	0
IGHV5-5-2_IGHJ2-Z1	0	0	0
IGHV5-5-2_IGHJ3-M	0.00518134715025907	0.00793650793650794	0
IGHV5-5-2_IGHJ4-M	0.0155440414507772	0.00793650793650794	0.0204081632653061
IGHV5-5-2_IGHJ5-M	0.00518134715025907	0	0
IGHV5-5-3_IGHJ1-M	0	0	0
IGHV5-5-3_IGHJ1-Z1	0	0	0
IGHV5-5-3_IGHJ2-M	0.00518134715025907	0.00793650793650794	0
IGHV5-5-3_IGHJ2-Z1	0	0	0
IGHV5-5-3_IGHJ3-M	0	0	0
IGHV5-5-3_IGHJ4-M	0	0	0
IGHV5-5-3_IGHJ5-M	0	0	0
IGHV6-1_IGHJ1-M	0.00518134715025907	0.00793650793650794	0
IGHV6-1_IGHJ1-Z1	0	0	0
IGHV6-1_IGHJ2-M	0.00518134715025907	0	0.0204081632653061
IGHV6-1_IGHJ2-Z1	0	0	0
IGHV6-1_IGHJ3-M	0.00518134715025907	0	0
IGHV6-1_IGHJ4-M	0	0.0317460317460317	0
IGHV6-1_IGHJ5-M	0.00518134715025907	0.00793650793650794	0
IGHV6-2_IGHJ1-M	0	0	0
IGHV6-2_IGHJ1-Z1	0	0	0
IGHV6-2_IGHJ2-M	0	0	0
IGHV6-2_IGHJ2-Z1	0	0	0
IGHV6-2_IGHJ3-M	0.00518134715025907	0	0
IGHV6-2_IGHJ4-M	0.00518134715025907	0	0
IGHV6-2_IGHJ5-M	0	0	0
IGHV7-1_IGHJ1-M	0	0	0
