VJ_combination	demo1_IG	demo2_IG	demo3_IG
IGHV1-1_IGHJ1-M	0	0.0045662100456621	0
IGHV1-1_IGHJ1-Z1	0	0	0
IGHV1-1_IGHJ2-M	0	0.0045662100456621	0.00335570469798658
IGHV1-1_IGHJ2-Z1	0	0	0
IGHV1-1_IGHJ3-M	0	0	0.00335570469798658
IGHV1-1_IGHJ4-M	0	0	0.00335570469798658
IGHV1-1_IGHJ5-M	0	0	0
IGHV1-2_IGHJ1-M	0.00206611570247934	0	0
IGHV1-2_IGHJ1-Z1	0	0	0
IGHV1-2_IGHJ2-M	0.0103305785123967	0.0136986301369863	0
IGHV1-2_IGHJ2-Z1	0	0	0
IGHV1-2_IGHJ3-M	0.00206611570247934	0	0
IGHV1-2_IGHJ4-M	0.00413223140495868	0.0091324200913242	0
IGHV1-2_IGHJ5-M	0.00413223140495868	0.0091324200913242	0.00335570469798658
IGHV10-1_IGHJ1-M	0	0	0
IGHV10-1_IGHJ1-Z1	0	0	0
IGHV10-1_IGHJ2-M	0.00413223140495868	0	0
IGHV10-1_IGHJ2-Z1	0	0	0
IGHV10-1_IGHJ3-M	0	0	0
IGHV10-1_IGHJ4-M	0	0	0
IGHV10-1_IGHJ5-M	0	0.0045662100456621	0
IGHV11-1_IGHJ1-M	0	0	0
IGHV11-1_IGHJ1-Z1	0	0	0
IGHV11-1_IGHJ2-M	0.00413223140495868	0	0.00335570469798658
IGHV11-1_IGHJ2-Z1	0	0	0
IGHV11-1_IGHJ3-M	0	0.0091324200913242	0
IGHV11-1_IGHJ4-M	0	0	0.0167785234899329
IGHV11-1_IGHJ5-M	0	0	0
IGHV13S2_IGHJ1-M	0.00619834710743802	0.0045662100456621	0
IGHV13S2_IGHJ1-Z1	0	0	0
IGHV13S2_IGHJ2-M	0.00619834710743802	0	0.00335570469798658
IGHV13S2_IGHJ2-Z1	0	0	0
IGHV13S2_IGHJ3-M	0	0	0.375838926174497
IGHV13S2_IGHJ4-M	0.00413223140495868	0.0091324200913242	0
IGHV13S2_IGHJ5-M	0	0	0
IGHV14S1_IGHJ1-M	0.00206611570247934	0.0045662100456621	0
IGHV14S1_IGHJ1-Z1	0	0	0
IGHV14S1_IGHJ2-M	0.00413223140495868	0.0045662100456621	0
IGHV14S1_IGHJ2-Z1	0	0	0
IGHV14S1_IGHJ3-M	0.00206611570247934	0	0.00335570469798658
IGHV14S1_IGHJ4-M	0	0	0.104026845637584
IGHV14S1_IGHJ5-M	0	0.0136986301369863	0
IGHV1S3_IGHJ1-M	0.00413223140495868	0	0
IGHV1S3_IGHJ1-Z1	0	0	0
IGHV1S3_IGHJ2-M	0	0	0
IGHV1S3_IGHJ2-Z1	0	0	0
IGHV1S3_IGHJ3-M	0	0	0
IGHV1S3_IGHJ4-M	0	0	0
IGHV1S3_IGHJ5-M	0	0	0
IGHV1S4_IGHJ1-M	0	0.0045662100456621	0
IGHV1S4_IGHJ1-Z1	0	0	0
IGHV1S4_IGHJ2-M	0.00413223140495868	0	0
IGHV1S4_IGHJ2-Z1	0	0	0
IGHV1S4_IGHJ3-M	0	0	0
IGHV1S4_IGHJ4-M	0	0.0045662100456621	0
IGHV1S4_IGHJ5-M	0	0.0045662100456621	0
IGHV2-1_IGHJ1-M	0	0	0
IGHV2-1_IGHJ1-Z1	0	0	0
IGHV2-1_IGHJ2-M	0.00826446280991736	0	0
IGHV2-1_IGHJ2-Z1	0	0	0
IGHV2-1_IGHJ3-M	0	0	0
IGHV2-1_IGHJ4-M	0.00619834710743802	0	0
IGHV2-1_IGHJ5-M	0	0.0045662100456621	0
IGHV2-2_IGHJ1-M	0.00206611570247934	0	0
IGHV2-2_IGHJ1-Z1	0	0	0
IGHV2-2_IGHJ2-M	0.00413223140495868	0	0
IGHV2-2_IGHJ2-Z1	0	0	0
IGHV2-2_IGHJ3-M	0	0.0045662100456621	0
IGHV2-2_IGHJ4-M	0.00206611570247934	0.0045662100456621	0
IGHV2-2_IGHJ5-M	0	0.0045662100456621	0
IGHV3-2_IGHJ1-M	0.00206611570247934	0	0
IGHV3-2_IGHJ1-Z1	0	0	0
IGHV3-2_IGHJ2-M	0	0.045662100456621	0
IGHV3-2_IGHJ2-Z1	0	0	0
IGHV3-2_IGHJ3-M	0	0	0
IGHV3-2_IGHJ4-M	0	0.0045662100456621	0
IGHV3-2_IGHJ5-M	0.00206611570247934	0	0
IGHV4-1_IGHJ1-M	0	0	0
IGHV4-1_IGHJ1-Z1	0	0	0
IGHV4-1_IGHJ2-M	0	0.0182648401826484	0
IGHV4-1_IGHJ2-Z1	0	0	0
IGHV4-1_IGHJ3-M	0	0	0
IGHV4-1_IGHJ4-M	0.00206611570247934	0.0045662100456621	0
IGHV4-1_IGHJ5-M	0.00206611570247934	0	0
IGHV4-2_IGHJ1-M	0.0392561983471074	0.0045662100456621	0
