cloneId	readCount	readFraction	nLengthFR1	nLengthCDR1	nLengthFR2	nLengthCDR2	nLengthFR3	nMutationsCountFR1Substitutions	nMutationsCountCDR1Substitutions	nMutationsCountFR2Substitutions	nMutationsCountCDR2Substitutions	nMutationsCountFR3Substitutions	nLength	nMutations	SHM_reads
0	80	0.363636363636364	75	24	48	24	105	0	1	0	0	1	276	2	160
1	19	0.0863636363636364	75	24	48	24	105	0	1	0	0	2	276	3	57
2	7	0.0318181818181818	75	24	51	21	111	0	1	0	0	0	282	1	7
3	5	0.0227272727272727	75	30	51	21	111	0	0	0	0	0	288	0	0
4	4	0.0181818181818182	75	24	48	24	105	1	1	0	0	2	276	4	16
5	4	0.0181818181818182	75	24	48	24	105	1	2	0	0	3	276	6	24
6	4	0.0181818181818182	75	24	48	24	105	0	1	0	0	3	276	4	16
7	4	0.0181818181818182	75	24	48	24	105	0	0	0	0	0	276	0	0
8	3	0.0136363636363636	75	24	51	21	111	0	1	0	0	0	282	1	3
9	3	0.0136363636363636	75	24	51	21	111	0	0	0	0	0	282	0	0
10	3	0.0136363636363636	75	24	48	24	105	1	1	0	0	0	276	2	6
11	3	0.0136363636363636	75	24	51	24	102	0	0	0	0	0	276	0	0
12	2	0.00909090909090909	75	21	51	21	111	0	0	0	0	0	279	0	0
13	2	0.00909090909090909	75	21	51	21	111	0	0	0	0	0	279	0	0
14	2	0.00909090909090909	75	30	51	21	111	1	0	1	1	0	288	3	6
15	2	0.00909090909090909	75	24	51	21	111	0	0	0	0	0	282	0	0
16	2	0.00909090909090909	75	24	51	21	111	0	0	0	1	3	282	4	8
17	2	0.00909090909090909	75	24	48	24	105	1	1	0	0	1	276	3	6
18	2	0.00909090909090909	75	24	48	24	105	1	1	0	0	3	276	5	10
19	2	0.00909090909090909	75	24	48	24	105	1	1	0	0	0	276	2	4
20	2	0.00909090909090909	75	24	48	24	105	0	0	0	0	0	276	0	0
21	2	0.00909090909090909	75	24	48	24	105	0	0	0	0	1	276	1	2
22	2	0.00909090909090909	75	24	48	24	105	2	1	0	0	0	276	3	6
23	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
24	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
25	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
26	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
27	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
28	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
29	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
30	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
31	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
32	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
33	1	0.00454545454545455	75	21	51	21	111	0	0	0	0	0	279	0	0
35	1	0.00454545454545455	75	24	51	24	111	0	0	0	0	0	285	0	0
36	1	0.00454545454545455	75	24	51	24	111	0	0	0	0	0	285	0	0
37	1	0.00454545454545455	75	15	51	21	111	0	0	0	0	0	273	0	0
38	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
39	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
40	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
41	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
42	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
43	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
44	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
45	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
46	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
47	1	0.00454545454545455	75	27	51	21	111	0	0	0	0	0	285	0	0
48	1	0.00454545454545455	75	27	51	21	111	0	0	0	0	0	285	0	0
49	1	0.00454545454545455	75	30	51	21	111	0	0	0	0	0	288	0	0
50	1	0.00454545454545455	75	24	51	24	111	0	0	0	0	0	285	0	0
51	1	0.00454545454545455	33	16	51	21	111	0	1	0	0	0	232	1	1
52	1	0.00454545454545455	75	24	51	21	111	0	0	0	0	0	282	0	0
53	1	0.00454545454545455	75	24	51	21	111	0	0	0	0	1	282	1	1
54	1	0.00454545454545455	75	24	51	21	111	0	0	0	1	0	282	1	1
55	1	0.00454545454545455	75	24	51	21	111	0	0	0	0	0	282	0	0
56	1	0.00454545454545455	75	24	51	21	111	0	0	0	0	0	282	0	0
57	1	0.00454545454545455	75	21	48	21	111	0	0	0	0	0	276	0	0
58	1	0.00454545454545455	75	24	51	27	111	0	0	0	0	0	288	0	0
59	1	0.00454545454545455	75	24	48	24	111	0	0	0	0	0	282	0	0
60	1	0.00454545454545455	75	24	51	36	111	0	0	0	0	0	297	0	0
61	1	0.00454545454545455	75	24	48	24	105	1	1	0	0	3	276	5	5
62	1	0.00454545454545455	75	24	48	24	105	1	0	0	0	0	276	1	1
64	1	0.00454545454545455	75	24	51	24	102	0	0	0	0	0	276	0	0
65	1	0.00454545454545455	75	24	51	24	102	0	0	0	0	0	276	0	0
66	1	0.00454545454545455	75	24	51	24	102	0	0	0	0	0	276	0	0
67	1	0.00454545454545455	75	24	51	24	102	0	0	0	0	0	276	0	0
68	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	1	276	1	1
70	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
71	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
72	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
73	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
74	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
75	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
76	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
77	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
78	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
79	1	0.00454545454545455	75	24	48	24	105	0	0	0	0	0	276	0	0
80	1	0.00454545454545455	75	24	48	24	105	2	1	0	0	0	276	3	3
81	1	0.00454545454545455	75	24	48	24	111	2	0	0	0	0	282	2	2
